Address	ID	Name	Photos
"-10.040181, 143.560709"	1003	Australia	https://s3.amazonaws.com/prettyearthimages/newImage1003.JPG
"-19.140249, -68.683995"	1004	"A-377,  Volcán Isluga National Park,  Colchane,  Tamarugal,  Tarapaca,  Chile"	https://s3.amazonaws.com/prettyearthimages/newImage1004.JPG
"30.109104, 84.817876"	1006	"Coqen,  Ngari,  Xizang (Tibet),  China"	https://s3.amazonaws.com/prettyearthimages/newImage1006.JPG
"30.248502, 85.047215"	1007	"Coqen,  Ngari,  Xizang (Tibet),  China"	https://s3.amazonaws.com/prettyearthimages/newImage1007.JPG
"30.349926, 85.157309"	1008	"S206,  Coqen,  Ngari,  Xizang (Tibet),  China"	https://s3.amazonaws.com/prettyearthimages/newImage1008.JPG
"-76.646349, 160.41473"	1010	Antarctica	https://s3.amazonaws.com/prettyearthimages/newImage1010.JPG
"-71.924341, 25.157817"	1012	Antarctica	https://s3.amazonaws.com/prettyearthimages/newImage1012.JPG
"29.14274, 90.513512"	1014	"307 Provincial Road,  Nagarze,  Shannan,  Xizang (Tibet),  China"	https://s3.amazonaws.com/prettyearthimages/newImage1014.JPG
"45.351844, 53.524919"	1017	"Beyneu District,  Mangystau,  Kazakhstan"	https://s3.amazonaws.com/prettyearthimages/newImage1017.JPG
"24.659177, 24.968061"	1018	"Al Kufrah,  Libya"	https://s3.amazonaws.com/prettyearthimages/newImage1018.JPG
"23.604734, 25.315547"	1019	"Qesm Al Wahat Ad Dakhlah,  New Valley Governorate,  Egypt"	https://s3.amazonaws.com/prettyearthimages/newImage1019.JPG
"43.536867, -102.360299"	1021	"Unnamed Road,  Porcupine,  East Shannon,  Shannon County,  South Dakota,  United States,  57772"	https://s3.amazonaws.com/prettyearthimages/newImage1021.JPG
"35.286769, 100.291448"	1022	"Tongde,  Hainan,  Qinghai,  China"	https://s3.amazonaws.com/prettyearthimages/newImage1022.JPG
"33.68746, 79.859533"	1023	"219 National Road,  Rutog,  Ngari,  Xizang (Tibet),  China"	https://s3.amazonaws.com/prettyearthimages/newImage1023.JPG
"32.688049, 22.87596"	1024	Libya	https://s3.amazonaws.com/prettyearthimages/newImage1024.JPG
"18.431694, 21.068799"	1026	"Ennedi,  Chad"	https://s3.amazonaws.com/prettyearthimages/newImage1026.JPG
"24.936413, -76.333179"	1027	"Meridian Highway,  South Eleuthera,  The Bahamas"	https://s3.amazonaws.com/prettyearthimages/newImage1027.JPG
"-17.369726, -145.549783"	1032	"Tuamotus Islands,  The Tuamotu and Gambier Islands,  French Polynesia"	https://s3.amazonaws.com/prettyearthimages/newImage1032.JPG
"41.989079, -87.901827"	1033	"1-99,  Chicago O'Hare International Airport,  Upper Level T1 St,  O'Hare,  Chicago,  Cook County,  Illinois,  United States,  60666"	https://s3.amazonaws.com/prettyearthimages/newImage1033.JPG
"39.39742, -121.141797"	1034	"Road 169,  Plumas National Forest,  Camptonville,  Yuba County,  California,  United States,  95922"	https://s3.amazonaws.com/prettyearthimages/newImage1034.JPG
"50.915255, 6.491187"	1035	"Eisbeerenweg,  Niederzier,  Cologne,  North Rhine-Westphalia,  Germany,  52382"	https://s3.amazonaws.com/prettyearthimages/newImage1035.JPG
"60.997524, -45.010386"	1036	"Kujalleq,  Greenland"	https://s3.amazonaws.com/prettyearthimages/newImage1036.JPG
"64.181119, -17.140045"	1037	"Skaftafelljökull Trail,  Vatnajökull National Park,  Iceland"	https://s3.amazonaws.com/prettyearthimages/newImage1037.JPG
"45.962714, 7.724891"	1038	"1-1,  Bahnhof Gornergrat,  Zermatt,  Visp,  Valais,  Switzerland,  3920"	https://s3.amazonaws.com/prettyearthimages/newImage1038.JPG
"45.946972, 7.853036"	1039	"129,  Centro Abitato Pecetto,  Macugnaga,  Verbano-Cusio-Ossola,  Piedmont,  Italy,  28876"	https://s3.amazonaws.com/prettyearthimages/newImage1039.JPG
"46.054866, 7.973993"	1040	"Furggu,  Saas-Almagell,  Visp,  Valais,  Switzerland,  3905"	https://s3.amazonaws.com/prettyearthimages/newImage1040.JPG
"80.884801, -82.867126"	1041	"X0A,  Nunavut,  Canada"	https://s3.amazonaws.com/prettyearthimages/newImage1041.JPG
"40.812713, -112.649732"	1046	"Unnamed Road,  Tooele County,  Utah,  United States"	https://s3.amazonaws.com/prettyearthimages/newImage1046.JPG
"40.831581, -112.609434"	1047	"West West Stansbury Causeway Road,  Tooele County,  Utah,  United States"	https://s3.amazonaws.com/prettyearthimages/newImage1047.JPG
"41.306577, -113.015885"	1048	"Lower Hogup Finger Road,  Box Elder County,  Utah,  United States"	https://s3.amazonaws.com/prettyearthimages/newImage1048.JPG
"41.505554, -112.772333"	1049	"Unnamed Road,  Box Elder County,  Utah,  United States"	https://s3.amazonaws.com/prettyearthimages/newImage1049.JPG
"41.432562, -112.104795"	1050	"Unnamed Road,  Corinne,  Box Elder County,  Utah,  United States,  84307"	https://s3.amazonaws.com/prettyearthimages/newImage1050.JPG
